fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
40;"32";"15";"040";"016";BELENDUNG;KLARI;KARAWANG;JAWA BARAT;"3215040016";"3215040";"0  ";sp2020;3215040016048B;"048B";189470.643391587;"0002";RT 002 RW 001 DUSUN KRAJAN;"-";"1, 1";"1";;;;;;;;;1
41;"32";"15";"040";"016";BELENDUNG;KLARI;KARAWANG;JAWA BARAT;"3215040016";"3215040";"0  ";sp2020;3215040016044B;"044B";1004439.69492123;"0017";RT 002 RW 005 DUSUN SEMBANG;"-";"1, 1";"1";;;;;;;;;1
42;"32";"15";"040";"016";BELENDUNG;KLARI;KARAWANG;JAWA BARAT;"3215040016";"3215040";"0  ";sp2020;3215040016049B;"049B";125334.534890407;"0002";RT 003 RW 001 DUSUN KRAJAN;"-";"1, 1";"1";;;;;;;;;1
43;"32";"15";"040";"016";BELENDUNG;KLARI;KARAWANG;JAWA BARAT;"3215040016";"3215040";"0  ";sp2020;3215040016050B;"050B";150483.009903465;"0004";RT 004 RW 001 DUSUN KRAJAN;"-";"1, 1";"1";;;;;;;;;1
44;"32";"15";"040";"016";BELENDUNG;KLARI;KARAWANG;JAWA BARAT;"3215040016";"3215040";"0  ";sp2020;3215040016040B;"040B";355935.746605859;"0005";RT 001 RW 002 DUSUN CIREJAG;"-";"1, 1";"1";;;;;;;;;1
45;"32";"15";"050";"001";KALIHURIP;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050001";"3215050";"0  ";sp2020;3215050001013B;"013B";309511.087510855;"0012  ,  0010";"RT 012 RW 005 DUSUN PERUM KUJANG  ,  RT 010 RW 005 DUSUN PERUM KUJANG";"-";"1, 1,1, 1";"1";;;;;;;;;1
46;"32";"15";"050";"001";KALIHURIP;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050001";"3215050";"0  ";sp2020;3215050001011B;"011B";370581.471561814;"0011";RT 011 RW 005 DUSUN PERUM KUJANG;"-";"1, 1";"1";;;;;;;;;1
47;"32";"15";"050";"001";KALIHURIP;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050001";"3215050";"0  ";sp2020;3215050001008B;"008B";3196626.86881505;"5001";KAWASAN INDOTAESEI;"-";"9";"9";;;;;;;;;1
48;"32";"15";"050";"001";KALIHURIP;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050001";"3215050";"0  ";sp2020;3215050001009B;"009B";461901.16678483;"0009";RT 009 RW 004 DUSUN KALIHURIP;"-";"1,7";"7";;;;;;;;;1
49;"32";"15";"050";"002";KAMOJING;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050002";"3215050";"0  ";sp2020;3215050002002B;"002B";1469633.36058574;"0010";RT 010 RW 004 DUSUN KAMOJING BARAT;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
50;"32";"15";"050";"002";KAMOJING;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050002";"3215050";"0  ";sp2020;3215050002001B;"001B";2811124.25586891;"0012";RT 012 RW 005 DUSUN KAMOJING BARAT;"-";"1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
51;"32";"15";"050";"002";KAMOJING;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050002";"3215050";"0  ";sp2020;3215050002004B;"004B";295462.59525694;"0006";RT 006 RW 002 DUSUN KAMOJING TIMUR;"-";"1, 1, 1, 1";"1";;;;;;;;;1
52;"32";"15";"050";"002";KAMOJING;CIKAMPEK;KARAWANG;JAWA BARAT;"3215050002";"3215050";"0  ";sp2020;3215050002011B;"011B";97209.2381872609;"0009";RT 009 RW 004 DUSUN KAMOJING BARAT;"-";"1, 1, 1, 1";"1";;;;;;;;;1
