id;kecamatan_id;kdkec;kddesa;nmdesa
3215130005;3215130;130;005;LEMAHMAKMUR
3215130006;3215130;130;006;PAGADUNGAN
3215130007;3215130;130;007;PURWAJAYA
3215130008;3215130;130;008;JAYANEGARA
3215130009;3215130;130;009;TEMPURAN
3215130010;3215130;130;010;CIPARAGEJAYA
3215130011;3215130;130;011;CIKUNTUL
3215130012;3215130;130;012;SUMBERJAYA
3215130013;3215130;130;013;PANCAKARYA
3215130014;3215130;130;014;TANJUNGJAYA
3215140001;3215140;140;001;SINDANGKARYA
3215140002;3215140;140;002;SINDANGMUKTI
3215140003;3215140;140;003;SINDANGMULYA
3215140004;3215140;140;004;MULYAJAYA
3215140005;3215140;140;005;KUTAKARYA
3215140006;3215140;140;006;KUTAGANDOK
3215140007;3215140;140;007;WALUYA
3215140008;3215140;140;008;SAMPALAN
3215140009;3215140;140;009;SINDANGSARI
3215140010;3215140;140;010;KUTARAJA
3215140011;3215140;140;011;KUTAMUKTI
3215140012;3215140;140;012;KUTAJAYA
3215150001;3215150;150;001;KALANGSARI
3215150002;3215150;150;002;KALANGSURIA
3215150003;3215150;150;003;KARYASARI
3215150004;3215150;150;004;DUKUHKARYA
3215150005;3215150;150;005;AMANSARI
3215150006;3215150;150;006;RENGASDENGKLOK SELATAN
3215150007;3215150;150;007;RENGASDENGKLOK UTARA
3215150008;3215150;150;008;KERTASARI
3215150009;3215150;150;009;DEWISARI
3215151001;3215151;151;001;KEMIRI
3215151002;3215151;151;002;MAKMURJAYA
3215151003;3215151;151;003;JAYAMAKMUR
3215151004;3215151;151;004;JAYAKERTA
3215151005;3215151;151;005;KERTAJAYA
3215151006;3215151;151;006;CIPTAMARGA
3215151007;3215151;151;007;MEDANGASEM
3215151008;3215151;151;008;KAMPUNGSAWAH
3215160001;3215160;160;001;JATIMULYA
3215160006;3215160;160;006;KERTARAHARJA
3215160007;3215160;160;007;KARANGJAYA
3215160008;3215160;160;008;MALANGSARI
3215160009;3215160;160;009;KERTAMULYA
3215160010;3215160;160;010;PAYUNGSARI
3215160011;3215160;160;011;RANGDUMULYA
3215160012;3215160;160;012;LABANJAYA
3215160015;3215160;160;015;SUNGAIBUNTU
3215160016;3215160;160;016;KENDALJAYA
3215160017;3215160;160;017;DONGKAL
3215160018;3215160;160;018;PUSPASARI
3215161001;3215161;161;001;SUKARATU
3215161002;3215161;161;002;CIPTAMARGI
3215161003;3215161;161;003;TANJUNGSARI
3215161004;3215161;161;004;MEKARPOHACI
3215161005;3215161;161;005;KERTAMUKTI
3215161006;3215161;161;006;CIKANDE
3215161007;3215161;161;007;RAWASARI
3215161008;3215161;161;008;KOSAMBIBATU
3215161009;3215161;161;009;PUSAKAJAYA SELATAN
3215161010;3215161;161;010;PUSAKAJAYA UTARA
3215170001;3215170;170;001;SUKASARI
3215170002;3215170;170;002;KERTARAHAYU
3215170003;3215170;170;003;CIBUAYA
3215170004;3215170;170;004;PAJATEN
3215170005;3215170;170;005;KEDUNGJERUK
3215170006;3215170;170;006;KALIDUNGJAYA
3215170007;3215170;170;007;KEDUNGJAYA
3215170008;3215170;170;008;JAYAMULYA
3215170009;3215170;170;009;GEBANGJAYA
3215170010;3215170;170;010;CEMARAJAYA
3215170011;3215170;170;011;SEDARI
3215180001;3215180;180;001;MEDANKARYA
3215180002;3215180;180;002;PISANGSAMBO
3215180003;3215180;180;003;SABAJAYA
3215180004;3215180;180;004;GEMPOLKARYA
3215180005;3215180;180;005;SRIJAYA
3215180006;3215180;180;006;KUTAMAKMUR
3215180007;3215180;180;007;BOLANG
3215180008;3215180;180;008;SRIKAMULYAN
3215180009;3215180;180;009;SUMURLABAN
3215180010;3215180;180;010;TAMBAKSUMUR
3215180011;3215180;180;011;TAMBAKSARI
3215190001;3215190;190;001;KUTAAMPEL
3215190002;3215190;190;002;KARYAMAKMUR
3215190003;3215190;190;003;KARYAMULYA
3215190004;3215190;190;004;TELUKBANGO
3215190005;3215190;190;005;TELUKAMBULU
3215190006;3215190;190;006;KARYABHAKTI
3215190007;3215190;190;007;BATURADEN
3215190008;3215190;190;008;BATUJAYA
3215190009;3215190;190;009;SEGARAN
3215190010;3215190;190;010;SEGARJAYA
3215200001;3215200;200;001;TALAGAJAYA
3215200002;3215200;200;002;TELUKBUYUNG
3215200003;3215200;200;003;TANAHBARU
3215200004;3215200;200;004;SOLOKAN
3215200005;3215200;200;005;TANJUNGBUNGIN
3215200006;3215200;200;006;TANJUNGMEKAR
3215200007;3215200;200;007;TANJUNGPAKIS
3215200008;3215200;200;008;TELUKJAYA
